CMDLINE /mnt/c/Users/watermana/2023-24/CSC4801-DataSciencePracticum/newWangLab/wanglab/wang/bin/python mvp/Test_FE.py
MEM 5.207031 1712909085.0117
MEM 9.589844 1712909085.1120
MEM 17.335938 1712909085.2123
MEM 18.933594 1712909085.3126
MEM 19.457031 1712909085.4130
MEM 31.777344 1712909085.5134
MEM 33.878906 1712909085.6137
MEM 34.910156 1712909085.7140
MEM 36.375000 1712909085.8144
MEM 37.214844 1712909085.9147
MEM 38.503906 1712909086.0151
MEM 39.160156 1712909086.1154
MEM 39.937500 1712909086.2157
MEM 42.343750 1712909086.3161
MEM 44.757812 1712909086.4164
MEM 45.386719 1712909086.5167
MEM 46.984375 1712909086.6170
MEM 47.781250 1712909086.7173
MEM 48.296875 1712909086.8176
MEM 48.910156 1712909086.9180
MEM 50.132812 1712909087.0183
MEM 50.648438 1712909087.1186
MEM 50.906250 1712909087.2190
MEM 51.164062 1712909087.3194
MEM 51.812500 1712909087.4198
MEM 53.105469 1712909087.5201
MEM 54.496094 1712909087.6204
MEM 55.773438 1712909087.7208
MEM 56.933594 1712909087.8211
MEM 58.109375 1712909087.9214
MEM 59.816406 1712909088.0218
MEM 60.851562 1712909088.1221
MEM 61.109375 1712909088.2225
MEM 61.625000 1712909088.3228
MEM 61.730469 1712909088.4231
MEM 62.324219 1712909088.5234
MEM 62.757812 1712909088.6237
MEM 63.597656 1712909088.7240
MEM 64.218750 1712909088.8243
MEM 64.605469 1712909088.9246
MEM 67.226562 1712909089.0249
MEM 68.253906 1712909089.1252
MEM 69.179688 1712909089.2255
MEM 69.695312 1712909089.3258
MEM 70.210938 1712909089.4262
MEM 72.140625 1712909089.5265
MEM 73.269531 1712909089.6269
MEM 74.570312 1712909089.7272
MEM 75.523438 1712909089.8276
MEM 76.039062 1712909089.9279
MEM 76.289062 1712909090.0282
MEM 76.773438 1712909090.1289
MEM 77.785156 1712909090.2293
MEM 78.082031 1712909090.3297
MEM 78.667969 1712909090.4300
MEM 79.441406 1712909090.5304
MEM 79.441406 1712909090.6307
MEM 79.750000 1712909090.7311
MEM 82.050781 1712909090.8314
MEM 84.132812 1712909090.9319
MEM 89.914062 1712909091.0323
MEM 91.851562 1712909091.1327
MEM 93.480469 1712909091.2330
MEM 95.828125 1712909091.3333
MEM 97.304688 1712909091.4337
MEM 102.976562 1712909091.5341
MEM 105.035156 1712909091.6345
MEM 106.847656 1712909091.7349
MEM 108.781250 1712909091.8353
MEM 110.222656 1712909091.9357
MEM 116.035156 1712909092.0361
MEM 118.070312 1712909092.1364
MEM 119.843750 1712909092.2368
MEM 121.609375 1712909092.3371
MEM 122.132812 1712909092.4375
MEM 129.187500 1712909092.5378
MEM 130.484375 1712909092.6382
MEM 132.218750 1712909092.7385
MEM 134.085938 1712909092.8389
MEM 135.082031 1712909092.9392
MEM 142.097656 1712909093.0395
MEM 143.375000 1712909093.1399
MEM 145.417969 1712909093.2402
MEM 147.765625 1712909093.3405
MEM 148.953125 1712909093.4409
MEM 155.027344 1712909093.5412
MEM 156.882812 1712909093.6415
MEM 158.484375 1712909093.7418
MEM 160.250000 1712909093.8422
MEM 161.843750 1712909093.9426
MEM 168.214844 1712909094.0430
MEM 170.128906 1712909094.1433
MEM 172.058594 1712909094.2437
MEM 173.824219 1712909094.3441
MEM 174.390625 1712909094.4445
MEM 181.425781 1712909094.5449
MEM 183.566406 1712909094.6452
MEM 184.949219 1712909094.7456
MEM 186.714844 1712909094.8460
MEM 188.734375 1712909094.9463
MEM 189.898438 1712909095.0467
MEM 196.246094 1712909095.1471
MEM 198.210938 1712909095.2477
MEM 200.226562 1712909095.3481
MEM 201.992188 1712909095.4484
MEM 203.968750 1712909095.5488
MEM 209.625000 1712909095.6492
MEM 211.839844 1712909095.7496
MEM 213.699219 1712909095.8500
MEM 215.578125 1712909095.9503
MEM 217.117188 1712909096.0507
MEM 222.742188 1712909096.1511
MEM 224.750000 1712909096.2515
MEM 226.593750 1712909096.3519
MEM 228.468750 1712909096.4522
MEM 232.667969 1712909096.5526
MEM 236.683594 1712909096.6530
MEM 238.761719 1712909096.7533
MEM 240.644531 1712909096.8537
MEM 241.636719 1712909096.9541
