CMDLINE /mnt/c/Users/watermana/2023-24/CSC4801-DataSciencePracticum/newWangLab/wanglab/wang/bin/python mvp/Test_FE.py
MEM 248.785156 1712909097.0544
MEM 251.457031 1712909097.1547
MEM 252.617188 1712909097.2551
MEM 254.492188 1712909097.3554
MEM 256.132812 1712909097.4557
MEM 261.761719 1712909097.5560
MEM 264.714844 1712909097.6564
MEM 266.128906 1712909097.7567
MEM 267.593750 1712909097.8570
MEM 269.195312 1712909097.9573
MEM 274.750000 1712909098.0577
MEM 277.859375 1712909098.1580
MEM 279.332031 1712909098.2584
MEM 281.484375 1712909098.3587
MEM 282.621094 1712909098.4591
MEM 288.863281 1712909098.5595
MEM 290.652344 1712909098.6599
MEM 292.417969 1712909098.7603
MEM 294.765625 1712909098.8607
MEM 296.335938 1712909098.9610
MEM 301.792969 1712909099.0614
MEM 304.644531 1712909099.1618
MEM 305.996094 1712909099.2621
MEM 307.871094 1712909099.3625
MEM 309.230469 1712909099.4628
MEM 315.132812 1712909099.5632
MEM 318.011719 1712909099.6635
MEM 319.218750 1712909099.7638
MEM 321.093750 1712909099.8642
MEM 322.683594 1712909099.9645
MEM 328.273438 1712909100.0649
MEM 330.960938 1712909100.1652
MEM 332.085938 1712909100.2656
MEM 333.960938 1712909100.3664
MEM 335.617188 1712909100.4668
MEM 341.160156 1712909100.5672
MEM 343.988281 1712909100.6675
MEM 345.367188 1712909100.7680
MEM 346.832031 1712909100.8687
MEM 352.660156 1712909100.9690
MEM 355.214844 1712909101.0693
MEM 357.003906 1712909101.1697
MEM 358.437500 1712909101.2700
MEM 359.847656 1712909101.3703
MEM 365.039062 1712909101.4706
MEM 368.148438 1712909101.5710
MEM 370.128906 1712909101.6713
MEM 371.996094 1712909101.7717
MEM 372.988281 1712909101.8720
MEM 380.144531 1712909101.9723
MEM 381.378906 1712909102.0727
MEM 383.285156 1712909102.1730
MEM 385.144531 1712909102.2734
MEM 386.136719 1712909102.3738
MEM 392.777344 1712909102.4741
MEM 394.554688 1712909102.5744
MEM 396.320312 1712909102.6748
MEM 398.187500 1712909102.7752
MEM 399.238281 1712909102.8756
MEM 402.425781 1712909102.9759
MEM 407.363281 1712909103.0763
MEM 409.531250 1712909103.1767
MEM 410.984375 1712909103.2771
MEM 412.449219 1712909103.3775
MEM 414.277344 1712909103.4778
MEM 420.574219 1712909103.5782
MEM 421.246094 1712909103.6785
MEM 423.714844 1712909103.7789
MEM 425.574219 1712909103.8793
MEM 427.312500 1712909103.9797
MEM 428.421875 1712909104.0801
MEM 435.460938 1712909104.1805
MEM 437.562500 1712909104.2808
MEM 438.910156 1712909104.3811
MEM 440.789062 1712909104.4815
MEM 442.652344 1712909104.5819
MEM 448.890625 1712909104.6822
MEM 449.609375 1712909104.7826
MEM 452.019531 1712909104.8830
MEM 454.312500 1712909104.9833
MEM 454.898438 1712909105.0836
MEM 462.003906 1712909105.1840
MEM 464.253906 1712909105.2844
MEM 466.195312 1712909105.3847
MEM 468.128906 1712909105.4853
MEM 469.488281 1712909105.5857
MEM 475.371094 1712909105.6860
MEM 477.433594 1712909105.7864
MEM 479.011719 1712909105.8867
MEM 481.359375 1712909105.9871
MEM 482.687500 1712909106.0874
MEM 488.601562 1712909106.1878
MEM 490.652344 1712909106.2881
MEM 492.691406 1712909106.3884
MEM 494.625000 1712909106.4888
MEM 495.562500 1712909106.5892
MEM 501.863281 1712909106.6895
MEM 503.707031 1712909106.7898
MEM 505.546875 1712909106.8902
MEM 507.898438 1712909106.9907
MEM 507.898438 1712909107.0910
MEM 515.265625 1712909107.1915
MEM 517.351562 1712909107.2918
MEM 518.906250 1712909107.3921
MEM 521.195312 1712909107.4925
MEM 522.707031 1712909107.5928
MEM 528.402344 1712909107.6932
MEM 530.480469 1712909107.7935
MEM 532.257812 1712909107.8939
MEM 534.132812 1712909107.9943
MEM 535.695312 1712909108.0947
MEM 541.261719 1712909108.1951
MEM 543.226562 1712909108.2954
MEM 544.812500 1712909108.3958
MEM 546.578125 1712909108.4962
MEM 548.480469 1712909108.5966
MEM 550.203125 1712909108.6970
MEM 556.093750 1712909108.7973
MEM 558.179688 1712909108.8977
MEM 560.179688 1712909108.9980
MEM 562.117188 1712909109.0984
MEM 563.546875 1712909109.1988
MEM 564.984375 1712909109.2992
MEM 566.250000 1712909109.3996
MEM 573.277344 1712909109.4999
MEM 575.253906 1712909109.6003
MEM 576.664062 1712909109.7008
MEM 578.601562 1712909109.8011
MEM 580.062500 1712909109.9015
MEM 582.609375 1712909110.0018
MEM 587.468750 1712909110.1022
MEM 590.492188 1712909110.2025
MEM 591.917969 1712909110.3028
MEM 593.437500 1712909110.4031
MEM 594.664062 1712909110.5035
MEM 601.710938 1712909110.6041
MEM 604.253906 1712909110.7044
MEM 605.726562 1712909110.8047
MEM 607.187500 1712909110.9051
MEM 609.453125 1712909111.0055
MEM 610.554688 1712909111.1058
MEM 611.464844 1712909111.2062
MEM 614.414062 1712909111.3066
MEM 615.996094 1712909111.4069
MEM 617.421875 1712909111.5073
MEM 620.406250 1712909111.6076
MEM 624.832031 1712909111.7080
MEM 627.609375 1712909111.8084
MEM 630.648438 1712909111.9087
MEM 631.660156 1712909112.0091
MEM 633.597656 1712909112.1095
MEM 634.285156 1712909112.2099
MEM 639.371094 1712909112.3103
MEM 642.609375 1712909112.4106
MEM 644.921875 1712909112.5110
MEM 646.328125 1712909112.6113
MEM 647.847656 1712909112.7118
MEM 654.121094 1712909112.8121
MEM 656.132812 1712909112.9125
MEM 658.000000 1712909113.0129
MEM 659.425781 1712909113.1132
MEM 660.945312 1712909113.2136
MEM 662.214844 1712909113.3140
MEM 669.328125 1712909113.4144
MEM 671.511719 1712909113.5147
MEM 673.406250 1712909113.6151
MEM 674.457031 1712909113.7155
MEM 675.585938 1712909113.8159
MEM 682.835938 1712909113.9163
MEM 685.082031 1712909114.0167
MEM 686.070312 1712909114.1171
MEM 688.007812 1712909114.2174
MEM 689.437500 1712909114.3177
MEM 690.777344 1712909114.4181
MEM 697.816406 1712909114.5184
MEM 699.984375 1712909114.6187
MEM 701.464844 1712909114.7190
MEM 703.562500 1712909114.8194
MEM 703.562500 1712909114.9198
MEM 710.937500 1712909115.0202
MEM 712.089844 1712909115.1205
MEM 714.453125 1712909115.2209
MEM 716.277344 1712909115.3212
MEM 718.171875 1712909115.4215
MEM 724.062500 1712909115.5218
MEM 724.949219 1712909115.6222
MEM 727.562500 1712909115.7229
MEM 729.328125 1712909115.8233
MEM 731.343750 1712909115.9237
MEM 731.343750 1712909116.0241
MEM 738.636719 1712909116.1245
MEM 740.742188 1712909116.2248
MEM 742.621094 1712909116.3252
MEM 744.554688 1712909116.4257
MEM 745.261719 1712909116.5260
MEM 752.539062 1712909116.6264
MEM 753.839844 1712909116.7268
MEM 755.789062 1712909116.8272
MEM 757.683594 1712909116.9275
MEM 759.730469 1712909117.0280
MEM 759.730469 1712909117.1283
MEM 766.847656 1712909117.2287
MEM 768.835938 1712909117.3291
MEM 770.531250 1712909117.4295
MEM 772.410156 1712909117.5299
MEM 774.113281 1712909117.6303
MEM 780.613281 1712909117.7307
MEM 781.230469 1712909117.8311
MEM 783.824219 1712909117.9315
MEM 785.691406 1712909118.0319
MEM 787.957031 1712909118.1322
MEM 792.816406 1712909118.2325
MEM 794.792969 1712909118.3329
MEM 797.085938 1712909118.4333
MEM 798.949219 1712909118.5336
MEM 799.941406 1712909118.6339
MEM 807.152344 1712909118.7343
MEM 809.300781 1712909118.8346
MEM 810.652344 1712909118.9350
MEM 812.417969 1712909119.0353
MEM 813.000000 1712909119.1357
MEM 820.226562 1712909119.2360
MEM 822.253906 1712909119.3364
MEM 823.675781 1712909119.4367
MEM 825.441406 1712909119.5370
MEM 826.765625 1712909119.6373
MEM 829.371094 1712909119.7377
MEM 834.828125 1712909119.8380
MEM 837.085938 1712909119.9383
MEM 838.957031 1712909120.0387
MEM 840.695312 1712909120.1391
MEM 841.820312 1712909120.2394
MEM 848.726562 1712909120.3398
MEM 850.882812 1712909120.4401
MEM 852.257812 1712909120.5405
MEM 854.195312 1712909120.6409
MEM 855.250000 1712909120.7412
MEM 861.531250 1712909120.8418
MEM 864.199219 1712909120.9422
MEM 864.722656 1712909121.0425
MEM 864.980469 1712909121.1428
MEM 865.574219 1712909121.2431
MEM 866.601562 1712909121.3435
MEM 867.363281 1712909121.4438
MEM 867.878906 1712909121.5441
MEM 867.878906 1712909121.6444
MEM 867.878906 1712909121.7448
MEM 868.156250 1712909121.8451
MEM 879.140625 1712909121.9456
MEM 880.175781 1712909122.0459
MEM 881.539062 1712909122.1463
MEM 882.441406 1712909122.2466
MEM 883.097656 1712909122.3469
MEM 883.875000 1712909122.4473
MEM 884.808594 1712909122.5476
MEM 885.687500 1712909122.6479
MEM 885.945312 1712909122.7483
MEM 886.261719 1712909122.8486
MEM 887.160156 1712909122.9490
MEM 888.007812 1712909123.0495
MEM 889.195312 1712909123.1498
MEM 889.195312 1712909123.2501
MEM 892.148438 1712909123.3505
MEM 893.078125 1712909123.4508
MEM 894.617188 1712909123.5511
MEM 895.097656 1712909123.6514
MEM 896.601562 1712909123.7517
MEM 897.250000 1712909123.8521
MEM 898.269531 1712909123.9524
MEM 898.875000 1712909124.0527
MEM 899.515625 1712909124.1530
MEM 900.183594 1712909124.2533
MEM 901.703125 1712909124.3536
MEM 902.589844 1712909124.4539
MEM 902.855469 1712909124.5542
MEM 903.734375 1712909124.6545
MEM 904.332031 1712909124.7549
MEM 906.460938 1712909124.8552
MEM 907.476562 1712909124.9556
MEM 909.605469 1712909125.0559
MEM 910.613281 1712909125.1563
MEM 911.718750 1712909125.2566
MEM 912.648438 1712909125.3570
MEM 913.781250 1712909125.4573
MEM 914.093750 1712909125.5576
MEM 915.828125 1712909125.6579
MEM 916.882812 1712909125.7582
MEM 917.796875 1712909125.8586
MEM 919.156250 1712909125.9593
MEM 919.214844 1712909126.0597
MEM 919.617188 1712909126.1600
MEM 920.183594 1712909126.2603
MEM 920.437500 1712909126.3605
MEM 920.695312 1712909126.4609
MEM 921.984375 1712909126.5612
MEM 922.503906 1712909126.6616
MEM 923.121094 1712909126.7618
MEM 924.113281 1712909126.8622
MEM 924.593750 1712909126.9625
MEM 925.726562 1712909127.0628
MEM 926.652344 1712909127.1632
MEM 927.964844 1712909127.2635
MEM 928.980469 1712909127.3638
MEM 929.914062 1712909127.4641
MEM 930.902344 1712909127.5644
MEM 931.929688 1712909127.6648
MEM 932.871094 1712909127.7652
MEM 933.851562 1712909127.8655
MEM 934.625000 1712909127.9658
MEM 934.882812 1712909128.0661
MEM 935.140625 1712909128.1664
MEM 935.656250 1712909128.2667
MEM 935.656250 1712909128.3670
MEM 935.656250 1712909128.4673
MEM 935.656250 1712909128.5676
MEM 935.656250 1712909128.6679
MEM 935.656250 1712909128.7683
MEM 935.656250 1712909128.8686
MEM 935.914062 1712909128.9689
MEM 936.171875 1712909129.0692
MEM 936.429688 1712909129.1696
MEM 936.945312 1712909129.2699
MEM 937.261719 1712909129.3703
MEM 938.511719 1712909129.4705
MEM 939.285156 1712909129.5709
MEM 940.058594 1712909129.6712
MEM 940.574219 1712909129.7715
MEM 941.289062 1712909129.8718
MEM 942.718750 1712909129.9722
MEM 942.937500 1712909130.0725
MEM 943.582031 1712909130.1729
MEM 943.683594 1712909130.2732
MEM 944.019531 1712909130.3735
MEM 944.800781 1712909130.4739
MEM 945.867188 1712909130.5742
MEM 947.230469 1712909130.6745
MEM 948.589844 1712909130.7749
MEM 949.687500 1712909130.8752
MEM 950.382812 1712909130.9756
MEM 951.261719 1712909131.0761
MEM 951.777344 1712909131.1765
MEM 952.808594 1712909131.2768
MEM 953.148438 1712909131.3772
MEM 953.750000 1712909131.4775
MEM 954.070312 1712909131.5778
MEM 954.300781 1712909131.6781
MEM 955.386719 1712909131.7785
MEM 956.574219 1712909131.8788
MEM 956.832031 1712909131.9791
MEM 957.089844 1712909132.0794
MEM 957.605469 1712909132.1797
MEM 957.871094 1712909132.2801
MEM 959.296875 1712909132.3805
MEM 960.210938 1712909132.4808
MEM 962.949219 1712909132.5812
MEM 964.382812 1712909132.6815
MEM 967.128906 1712909132.7818
MEM 969.507812 1712909132.8822
MEM 971.195312 1712909132.9824
MEM 972.226562 1712909133.0827
MEM 973.773438 1712909133.1830
MEM 975.062500 1712909133.2834
MEM 976.093750 1712909133.3837
MEM 976.351562 1712909133.4840
MEM 976.617188 1712909133.5843
MEM 976.945312 1712909133.6845
MEM 977.203125 1712909133.7849
MEM 977.460938 1712909133.8852
MEM 977.718750 1712909133.9855
MEM 977.718750 1712909134.0858
MEM 977.976562 1712909134.1861
MEM 977.976562 1712909134.2864
MEM 977.976562 1712909134.3867
MEM 977.976562 1712909134.4871
MEM 977.976562 1712909134.5874
MEM 977.976562 1712909134.6877
MEM 977.976562 1712909134.7880
MEM 978.750000 1712909134.8884
MEM 980.296875 1712909134.9887
MEM 982.875000 1712909135.0890
MEM 984.421875 1712909135.1893
MEM 985.968750 1712909135.2897
MEM 986.742188 1712909135.3900
MEM 987.000000 1712909135.4903
MEM 989.699219 1712909135.5907
MEM 990.363281 1712909135.6911
MEM 990.765625 1712909135.7914
MEM 991.281250 1712909135.8917
MEM 991.796875 1712909135.9921
MEM 992.054688 1712909136.0924
MEM 998.402344 1712909136.1930
MEM 999.695312 1712909136.2934
MEM 1001.464844 1712909136.3938
MEM 1003.421875 1712909136.4942
MEM 1005.601562 1712909136.5945
MEM 1007.718750 1712909136.6949
MEM 1009.898438 1712909136.7953
MEM 1012.078125 1712909136.8957
MEM 1014.257812 1712909136.9960
MEM 1016.437500 1712909137.0964
MEM 1018.613281 1712909137.1968
MEM 1020.738281 1712909137.2972
MEM 1022.226562 1712909137.3976
MEM 1024.343750 1712909137.4979
MEM 1025.835938 1712909137.5982
MEM 1028.015625 1712909137.6986
MEM 1030.195312 1712909137.7989
MEM 1032.371094 1712909137.8992
MEM 1034.550781 1712909137.9995
MEM 1036.726562 1712909138.0998
MEM 1038.906250 1712909138.2002
MEM 1041.027344 1712909138.3005
MEM 1043.207031 1712909138.4009
MEM 1044.636719 1712909138.5012
MEM 1046.820312 1712909138.6015
MEM 1048.941406 1712909138.7018
MEM 1051.121094 1712909138.8022
MEM 1052.609375 1712909138.9025
MEM 1054.730469 1712909139.0029
MEM 1056.164062 1712909139.1033
MEM 1058.343750 1712909139.2036
MEM 1061.050781 1712909139.3040
MEM 1061.964844 1712909139.4044
MEM 1063.937500 1712909139.5048
MEM 1063.937500 1712909139.6052
MEM 1065.953125 1712909139.7055
MEM 1067.640625 1712909139.8059
MEM 1071.808594 1712909139.9063
MEM 1073.812500 1712909140.0066
MEM 1076.472656 1712909140.1069
MEM 1078.906250 1712909140.2073
MEM 1080.445312 1712909140.3076
MEM 1081.140625 1712909140.4080
MEM 1081.472656 1712909140.5083
MEM 1082.109375 1712909140.6086
MEM 1082.769531 1712909140.7089
MEM 1083.285156 1712909140.8092
MEM 1083.542969 1712909140.9095
MEM 1084.058594 1712909141.0099
MEM 1153.300781 1712909141.1102
MEM 1200.949219 1712909141.2105
MEM 1240.117188 1712909141.3111
MEM 1285.320312 1712909141.4114
MEM 1327.136719 1712909141.5118
MEM 1374.652344 1712909141.6121
MEM 1417.824219 1712909141.7124
MEM 1455.933594 1712909141.8128
MEM 1499.433594 1712909141.9131
MEM 1541.015625 1712909142.0135
MEM 1590.929688 1712909142.1138
MEM 1629.707031 1712909142.2141
MEM 1674.460938 1712909142.3144
MEM 1717.312500 1712909142.4147
MEM 1762.636719 1712909142.5151
MEM 1805.296875 1712909142.6154
MEM 1847.332031 1712909142.7157
MEM 1896.339844 1712909142.8160
MEM 1937.449219 1712909142.9163
MEM 1984.257812 1712909143.0167
MEM 2029.429688 1712909143.1170
MEM 2069.468750 1712909143.2174
MEM 2116.933594 1712909143.3178
MEM 2153.328125 1712909143.4181
MEM 2201.562500 1712909143.5184
MEM 2247.312500 1712909143.6188
MEM 2288.574219 1712909143.7191
MEM 2338.816406 1712909143.8194
MEM 2375.976562 1712909143.9197
MEM 2423.183594 1712909144.0200
MEM 2469.191406 1712909144.1203
MEM 2510.453125 1712909144.2207
MEM 2555.937500 1712909144.3211
MEM 2597.343750 1712909144.4214
MEM 2644.292969 1712909144.5218
MEM 2687.261719 1712909144.6221
MEM 2732.523438 1712909144.7224
MEM 2778.003906 1712909144.8228
MEM 2819.414062 1712909144.9232
MEM 2867.648438 1712909145.0235
MEM 2913.332031 1712909145.1238
MEM 2954.593750 1712909145.2242
MEM 3002.070312 1712909145.3246
MEM 3041.484375 1712909145.4249
MEM 3089.718750 1712909145.5252
MEM 3137.144531 1712909145.6255
MEM 3179.437500 1712909145.7259
MEM 3228.445312 1712909145.8262
MEM 3274.324219 1712909145.9265
MEM 3320.875000 1712909146.0268
MEM 3367.238281 1712909146.1272
MEM 3407.753906 1712909146.2275
MEM 3450.515625 1712909146.3279
MEM 3496.128906 1712909146.4285
MEM 3540.945312 1712909146.5289
MEM 3589.308594 1712909146.6293
MEM 3631.816406 1712909146.7296
MEM 3676.195312 1712909146.8300
MEM 3726.433594 1712909146.9303
MEM 3765.015625 1712909147.0307
MEM 3811.378906 1712909147.1310
MEM 3851.636719 1712909147.2314
MEM 3894.656250 1712909147.3318
MEM 3932.019531 1712909147.4321
MEM 3977.484375 1712909147.5324
MEM 4021.167969 1712909147.6327
MEM 4064.687500 1712909147.7331
MEM 4112.156250 1712909147.8334
MEM 4151.320312 1712909147.9338
MEM 4199.296875 1712909148.0341
MEM 4243.304688 1712909148.1345
MEM 4286.566406 1712909148.2348
MEM 4328.058594 1712909148.3353
MEM 4369.910156 1712909148.4356
MEM 4414.183594 1712909148.5359
MEM 4454.925781 1712909148.6363
MEM 4495.570312 1712909148.7367
MEM 4536.332031 1712909148.8370
MEM 4576.078125 1712909148.9374
MEM 4616.066406 1712909149.0378
MEM 4650.847656 1712909149.1383
MEM 4676.996094 1712909149.2387
MEM 4702.886719 1712909149.3391
MEM 4739.539062 1712909149.4395
MEM 4780.945312 1712909149.5399
MEM 4818.367188 1712909149.6403
MEM 4865.316406 1712909149.7406
MEM 4909.132812 1712909149.8409
MEM 4954.648438 1712909149.9413
MEM 5001.082031 1712909150.0416
MEM 5042.242188 1712909150.1420
MEM 5087.710938 1712909150.2424
MEM 5127.269531 1712909150.3428
MEM 5171.179688 1712909150.4431
MEM 5215.953125 1712909150.5435
MEM 5250.164062 1712909150.6440
MEM 5282.152344 1712909150.7444
MEM 5309.847656 1712909150.8448
MEM 5342.632812 1712909150.9453
MEM 5379.554688 1712909151.0457
MEM 5420.945312 1712909151.1461
MEM 5450.187500 1712909151.2465
MEM 5489.492188 1712909151.3469
MEM 5531.984375 1712909151.4473
MEM 5569.285156 1712909151.5480
MEM 5614.941406 1712909151.6484
MEM 5646.433594 1712909151.7489
MEM 5683.417969 1712909151.8493
MEM 5726.167969 1712909151.9496
MEM 5753.605469 1712909152.0500
MEM 5789.164062 1712909152.1505
MEM 5829.558594 1712909152.2510
MEM 5864.960938 1712909152.3514
MEM 5902.062500 1712909152.4518
MEM 5948.304688 1712909152.5523
MEM 5991.917969 1712909152.6527
MEM 6036.929688 1712909152.7530
MEM 6081.578125 1712909152.8533
MEM 6118.402344 1712909152.9536
MEM 6164.152344 1712909153.0540
MEM 6201.488281 1712909153.1545
MEM 6243.179688 1712909153.2548
MEM 6281.093750 1712909153.3553
MEM 6323.867188 1712909153.4556
MEM 6367.976562 1712909153.5559
MEM 6409.988281 1712909153.6563
MEM 6453.058594 1712909153.7566
MEM 6499.460938 1712909153.8569
MEM 6537.496094 1712909153.9573
MEM 6586.503906 1712909154.0576
MEM 6623.355469 1712909154.1580
MEM 6645.503906 1712909154.2584
MEM 6670.878906 1712909154.3588
MEM 6697.476562 1712909154.4592
MEM 6725.109375 1712909154.5596
MEM 6752.992188 1712909154.6599
MEM 6776.371094 1712909154.7603
MEM 6794.093750 1712909154.8608
MEM 6820.046875 1712909154.9612
MEM 6847.738281 1712909155.0616
MEM 6891.726562 1712909155.1619
MEM 6927.476562 1712909155.2623
MEM 6961.367188 1712909155.3626
MEM 6985.511719 1712909155.4630
MEM 7009.976562 1712909155.5633
MEM 7043.417969 1712909155.6637
MEM 7084.878906 1712909155.7640
MEM 7118.953125 1712909155.8643
MEM 7157.355469 1712909155.9647
MEM 7197.011719 1712909156.0650
MEM 7228.312500 1712909156.1654
MEM 7257.554688 1712909156.2658
MEM 7292.023438 1712909156.3662
MEM 7330.234375 1712909156.4666
MEM 7363.562500 1712909156.5670
MEM 7393.253906 1712909156.6678
MEM 7424.941406 1712909156.7681
MEM 7453.929688 1712909156.8686
MEM 7486.398438 1712909156.9691
MEM 7507.578125 1712909157.0695
MEM 7539.785156 1712909157.1699
MEM 7568.898438 1712909157.2703
MEM 7599.496094 1712909157.3707
MEM 7629.640625 1712909157.4711
MEM 7659.765625 1712909157.5715
MEM 7683.484375 1712909157.6719
MEM 7720.949219 1712909157.7722
MEM 7755.796875 1712909157.8725
MEM 7790.968750 1712909157.9729
MEM 7825.308594 1712909158.0732
MEM 7860.964844 1712909158.1736
MEM 7890.914062 1712909158.2739
MEM 7922.218750 1712909158.3742
MEM 7949.593750 1712909158.4746
MEM 7963.593750 1712909158.5750
MEM 7971.820312 1712909158.6754
MEM 7985.820312 1712909158.7757
MEM 7993.820312 1712909158.8761
MEM 8007.820312 1712909158.9764
MEM 8015.820312 1712909159.0768
MEM 8027.820312 1712909159.1773
MEM 8039.820312 1712909159.2778
MEM 8055.820312 1712909159.3782
MEM 8077.820312 1712909159.4788
MEM 8093.820312 1712909159.5791
MEM 8115.820312 1712909159.6795
MEM 8199.820312 1712909159.7799
MEM 8297.820312 1712909159.8803
MEM 8395.820312 1712909159.9807
MEM 8429.820312 1712909160.0810
MEM 8441.820312 1712909160.1814
MEM 8493.820312 1712909160.2818
MEM 8507.820312 1712909160.3821
MEM 8525.820312 1712909160.4825
MEM 8541.820312 1712909160.5829
MEM 8567.820312 1712909160.6833
MEM 8613.820312 1712909160.7837
MEM 8629.820312 1712909160.8840
MEM 8747.820312 1712909160.9844
MEM 8769.820312 1712909161.0848
MEM 8787.820312 1712909161.1851
MEM 8815.820312 1712909161.2855
MEM 8833.820312 1712909161.3858
MEM 8851.820312 1712909161.4861
MEM 8869.820312 1712909161.5865
MEM 8873.820312 1712909161.6869
MEM 8873.820312 1712909161.7874
MEM 8875.820312 1712909161.8878
MEM 8875.820312 1712909161.9881
MEM 8879.820312 1712909162.0884
MEM 8881.820312 1712909162.1888
MEM 8881.820312 1712909162.2892
MEM 8891.820312 1712909162.3895
MEM 8907.820312 1712909162.4899
MEM 8923.820312 1712909162.5903
MEM 8933.820312 1712909162.6907
MEM 8945.820312 1712909162.7911
MEM 8959.820312 1712909162.8914
MEM 8961.820312 1712909162.9919
MEM 8961.820312 1712909163.0922
MEM 8961.820312 1712909163.1926
MEM 8965.820312 1712909163.2930
MEM 8975.820312 1712909163.3934
MEM 8983.820312 1712909163.4938
MEM 8995.820312 1712909163.5942
MEM 9009.820312 1712909163.6945
MEM 9023.820312 1712909163.7949
MEM 9037.820312 1712909163.8952
MEM 9049.820312 1712909163.9956
MEM 9063.820312 1712909164.0959
MEM 9079.820312 1712909164.1963
MEM 9093.820312 1712909164.2967
MEM 9111.820312 1712909164.3971
MEM 9129.820312 1712909164.4975
MEM 9151.820312 1712909164.5978
MEM 9165.820312 1712909164.6982
MEM 9177.820312 1712909164.7986
MEM 9197.820312 1712909164.8989
MEM 9259.820312 1712909164.9992
